epoch,train loss,val loss,swa
0.0,32.7443989708014,33.390331117454224,n
1.0,27.484488118039167,28.103530979550033,y
3.0,28.411123376222196,28.9742377765241,y
5.0,28.829703742604742,29.503537070472433,y
7.0,20.06801941932003,20.46569560154596,y
9.0,15.000704272162974,15.681105346102498,y
11.0,13.689910660565094,14.807618138550728,y
13.0,12.801174879407869,13.941733088749148,y
15.0,11.91067120474136,13.380535255600039,y
17.0,11.692213139543131,13.531039627578924,y
19.0,10.869907806642,12.791845576799227,y
21.0,10.418981963313508,12.321799048039411,y
23.0,10.070537655799043,12.419682371567172,y
